,0
0,0
1,1
2,2
3,4
4,6
5,10
6,12
7,13
8,15
9,17
10,19
11,20
12,21
13,22
14,23
15,25
16,26
17,29
18,30
19,31
20,32
21,34
22,35
23,36
24,41
25,42
26,43
27,44
28,45
29,46
30,47
31,48
32,51
33,53
34,54
35,57
36,58
37,59
38,63
39,64
40,65
41,66
42,69
43,70
44,71
45,80
46,81
47,82
48,83
49,84
50,86
51,88
52,91
53,92
54,95
55,96
56,99
57,100
58,102
59,103
60,105
61,107
62,108
63,110
64,111
65,114
66,116
67,117
68,118
69,120
70,124
71,126
72,129
73,130
74,131
75,133
76,134
77,135
78,137
79,138
80,140
81,142
82,143
83,146
84,147
85,149
86,150
87,151
88,153
89,154
90,156
91,158
92,160
93,163
94,166
95,167
96,168
97,170
98,172
99,173
100,174
101,175
102,176
103,177
104,178
105,180
106,182
107,183
108,185
109,188
110,189
111,192
112,193
113,194
114,196
115,197
116,198
117,200
118,201
119,202
120,203
121,204
122,206
123,208
124,209
125,212
126,213
127,216
128,217
129,218
130,220
131,226
132,228
133,229
134,231
135,233
136,234
137,237
138,238
139,243
140,244
141,247
142,249
143,250
144,251
145,268
146,277
147,286
148,308
149,309
150,312
151,314
152,315
153,317
154,318
155,319
156,321
157,322
158,327
159,328
160,329
161,330
162,333
163,339
164,342
165,347
166,353
167,357
168,361
169,362
170,366
171,368
172,369
173,370
174,371
175,372
176,373
177,378
178,379
179,381
180,382
181,383
182,384
183,387
184,390
185,391
186,392
187,393
188,394
189,395
190,396
191,397
192,398
193,401
194,404
195,405
196,406
197,407
198,408
199,409
200,410
201,411
202,412
203,414
204,415
205,416
206,418
207,419
208,422
209,424
210,425
211,426
212,428
213,429
214,430
215,432
216,438
217,439
218,440
219,441
220,443
221,444
222,445
223,446
224,452
225,453
226,461
227,464
228,465
229,466
230,467
231,468
232,469
233,471
234,473
235,474
236,477
237,478
238,480
239,484
240,486
241,488
242,490
243,492
244,495
245,497
246,500
247,503
248,505
249,506
250,510
251,513
252,514
253,515
254,516
255,518
256,523
257,524
258,525
259,526
260,527
261,528
262,529
263,531
264,532
265,533
266,534
267,537
268,539
269,541
270,542
271,543
272,544
273,545
274,547
275,549
276,551
277,555
278,556
279,557
280,569
281,629
282,630
283,631
284,636
285,637
286,638
287,639
288,641
289,642
290,643
291,653
292,655
293,659
294,660
295,662
296,665
297,691
298,692
299,693
300,694
301,697
302,699
303,700
304,705
305,706
306,707
307,708
308,710
309,712
310,713
311,716
312,717
313,721
314,722
315,723
316,725
317,726
318,727
319,728
320,730
321,732
322,733
323,734
324,735
325,737
326,738
327,739
328,741
329,742
330,746
331,751
332,752
333,753
334,754
335,758
336,759
337,761
338,763
339,764
340,766
341,768
342,769
343,770
344,771
345,773
346,778
347,779
348,780
349,781
350,782
351,783
352,785
353,786
354,787
355,788
356,789
357,793
358,798
359,799
360,800
361,803
362,804
363,805
364,806
365,808
366,809
367,811
368,812
369,813
370,814
371,815
372,817
373,821
374,823
375,824
376,825
377,826
378,828
379,829
380,830
381,832
382,834
383,837
384,838
385,839
386,841
387,842
388,843
389,844
390,846
391,850
392,856
393,858
394,859
395,860
396,861
397,862
398,864
399,865
400,867
401,868
402,869
403,875
404,877
405,878
406,882
407,883
408,884
409,885
410,886
411,887
412,888
413,890
414,891
415,892
416,894
417,895
418,896
419,897
420,898
421,902
422,904
423,905
424,908
425,909
426,910
427,927
428,928
429,930
430,933
431,934
432,935
433,938
434,940
435,941
436,943
437,944
438,946
439,950
440,952
441,953
442,954
443,955
444,956
445,957
446,959
447,960
448,961
449,962
450,963
451,964
452,966
453,967
454,969
455,970
456,971
457,972
458,973
459,975
460,980
461,983
462,984
463,989
464,990
465,991
466,999
467,1001
468,1002
469,1006
470,1008
471,1009
472,1010
473,1012
474,1015
475,1016
476,1017
477,1018
478,1019
479,1020
480,1021
481,1022
482,1023
483,1024
484,1025
485,1026
486,1027
487,1028
488,1030
489,1031
490,1032
491,1033
492,1035
493,1037
494,1044
495,1045
496,1046
497,1048
498,1051
499,1052
500,1053
501,1054
502,1056
503,1060
504,1061
505,1062
506,1063
507,1064
508,1065
509,1066
510,1069
511,1070
512,1072
513,1074
514,1077
515,1079
516,1080
517,1081
518,1082
519,1083
520,1084
521,1086
522,1088
523,1091
524,1093
525,1095
526,1096
527,1097
528,1098
529,1101
530,1103
531,1106
532,1107
533,1109
534,1110
535,1112
536,1113
537,1115
538,1117
539,1118
540,1119
541,1121
542,1122
543,1123
544,1124
545,1126
546,1127
547,1129
548,1130
549,1131
550,1132
551,1133
552,1134
553,1137
554,1139
555,1141
556,1143
557,1145
558,1146
559,1147
560,1148
561,1150
562,1151
563,1152
564,1153
565,1157
566,1158
567,1159
568,1161
569,1162
570,1163
571,1164
572,1165
573,1166
574,1167
575,1168
576,1169
577,1170
578,1171
579,1172
580,1174
581,1175
582,1176
583,1177
584,1179
585,1180
586,1181
587,1183
588,1184
589,1185
590,1186
591,1188
592,1189
593,1193
594,1195
595,1196
596,1197
597,1200
598,1201
599,1202
600,1205
601,1209
602,1215
603,1223
604,1224
605,1226
606,1227
607,1228
608,1229
609,1232
610,1234
611,1235
612,1236
613,1237
614,1238
615,1239
616,1241
617,1242
618,1244
619,1245
620,1246
621,1247
622,1252
623,1255
624,1256
625,1257
626,1258
627,1259
628,1260
629,1261
630,1262
631,1263
632,1264
633,1265
634,1266
635,1268
636,1269
637,1276
638,1277
639,1278
640,1280
641,1281
642,1282
643,1284
644,1285
645,1286
646,1287
647,1290
648,1291
649,1293
650,1294
651,1295
652,1296
653,1299
654,1301
655,1302
656,1303
657,1306
658,1307
659,1308
660,1309
661,1310
662,1311
663,1315
664,1317
665,1319
666,1321
667,1322
668,1323
669,1324
670,1334
671,1336
672,1343
673,1344
674,1346
675,1347
676,1348
677,1357
678,1358
679,1359
680,1368
681,1370
682,1371
683,1372
684,1373
685,1378
686,1380
687,1381
688,1383
689,1385
690,1387
691,1388
692,1389
693,1390
694,1392
695,1393
696,1397
697,1399
698,1402
699,1403
700,1405
701,1406
702,1407
703,1408
704,1409
705,1411
706,1413
707,1414
708,1418
709,1419
710,1420
711,1422
712,1423
713,1424
714,1425
715,1427
716,1428
717,1429
718,1432
719,1434
720,1435
721,1436
722,1438
723,1440
724,1442
725,1444
726,1445
727,1448
728,1453
729,1454
730,1456
731,1462
732,1463
733,1464
734,1465
735,1466
736,1467
737,1468
738,1469
739,1470
740,1471
741,1473
742,1474
743,1475
744,1476
745,1478
746,1480
747,1484
748,1485
749,1486
750,1489
751,1491
752,1494
753,1495
754,1496
755,1497
756,1499
757,1500
758,1501
759,1502
760,1505
761,1507
762,1511
763,1512
764,1514
765,1515
766,1516
767,1520
768,1523
769,1526
770,1529
771,1533
772,1534
773,1536
774,1539
775,1543
776,1544
777,1545
778,1548
779,1549
780,1557
781,1558
782,1560
783,1561
784,1565
785,1570
786,1572
787,1581
788,1584
789,1585
790,1587
791,1588
792,1589
793,1590
794,1592
795,1595
796,1596
797,1597
798,1598
799,1603
800,1604
801,1607
802,1610
803,1611
804,1612
805,1616
806,1618
807,1621
808,1622
809,1625
810,1627
811,1628
812,1633
813,1635
814,1637
815,1638
816,1639
817,1640
818,1641
819,1642
820,1643
821,1644
822,1645
823,1646
824,1647
825,1648
826,1649
827,1651
828,1652
829,1653
830,1656
831,1657
832,1658
833,1659
834,1660
835,1662
836,1663
837,1664
838,1672
839,1673
840,1675
841,1676
842,1678
843,1679
844,1681
845,1683
846,1684
847,1687
848,1688
849,1689
850,1690
851,1691
852,1692
853,1695
854,1696
855,1697
856,1698
857,1700
858,1701
859,1704
860,1705
861,1706
862,1708
863,1711
864,1716
865,1717
866,1723
867,1729
868,1730
869,1734
870,1735
871,1736
872,1737
873,1738
874,1739
875,1740
876,1742
877,1743
878,1744
879,1745
880,1746
881,1747
882,1748
883,1749
884,1750
885,1751
886,1753
887,1755
888,1756
889,1757
890,1759
891,1760
892,1765
893,1767
894,1768
895,1769
896,1771
897,1772
898,1774
899,1775
900,1779
901,1783
902,1784
903,1785
904,1786
905,1789
906,1790
907,1791
908,1794
909,1797
910,1800
911,1803
912,1804
913,1805
914,1806
915,1808
916,1809
917,1814
918,1815
919,1816
920,1817
921,1819
922,1820
923,1821
924,1822
925,1823
926,1825
927,1828
928,1831
929,1833
930,1841
931,1843
932,1844
933,1847
934,1849
935,1851
936,1864
937,1865
938,1866
939,1869
940,1871
941,1873
942,1874
943,1875
944,1876
945,1878
946,1879
947,1881
948,1882
949,1884
950,1886
951,1888
952,1889
953,1890
954,1891
